date,total_sun_per_day,mean_wind_per_day,mean_wind_direction_per_day,mean_temperature_per_day,total_rain_per_day,mean_pressure_per_day,total_sun_3to4pm,total_sun_1to8pm,mean_wind_direction_9to10am,mean_wind_9to10am,mean_humidity_9to10am,mean_pressure_9to10am
2016-04-26,4.51,1.575362819626814,291.3329877908316,3.3494010596636716,1.07,1006.2175765952545,0.23,1.27,307.0662983425414,2.1638121546961324,41.83121546961326,1005.6325966850828
2016-04-27,6.41,0.5192834926851746,266.1399608340053,3.5234189609491997,0.4,1009.3068770878931,0.19,1.8900000000000001,232.90331491712706,1.8466850828729282,43.47265193370166,1009.0
2016-04-28,4.85,1.3515437788018434,231.77188940092165,4.493652073732719,2.99,1008.8457373271889,0.0,0.0,247.4668508287293,2.729558011049724,48.215745856353585,1007.5828729281768
2016-04-29,8.97,1.6864432158488827,259.7752821930431,5.328610919143054,0.37,1007.5520617369269,0.56,3.38,247.72651933701658,1.7541436464088398,46.00386740331492,1007.5994475138122
2016-04-30,9.3,0.5554007369875633,273.55066789497926,5.610997236296637,0.0,1017.7024412713035,0.52,3.6100000000000003,302.2825484764543,1.4831491712707185,46.861602209944756,1019.0
2016-05-01,5.45,0.8351295336787564,203.128727691422,8.096050662061023,0.24,1021.7299942429476,0.0,0.22999999999999998,200.17955801104972,2.2497237569060773,49.687569060773484,1021.0
2016-05-02,1.09,1.4210732381391065,212.4606172270843,10.201266697374482,1.6399999999999997,1015.7567941040995,0.0,0.6799999999999999,193.76795580110496,2.2762430939226523,86.48839779005526,1013.5414364640884
2016-05-03,8.649999999999999,0.9016463274234401,252.83225880727608,8.339454294266636,0.0,1020.7654846880037,0.22,1.1300000000000001,268.14088397790056,1.168232044198895,45.348066298342545,1021.2127071823204
2016-05-04,13.979999999999999,0.4606744159281851,182.4067211416734,10.424582805846473,0.0,1020.8140177235585,1.02,6.15,183.85635359116023,0.8264462809917356,28.298347107438016,1020.0
2016-05-05,13.0,0.5208352508053383,134.77807179015187,12.592901518637825,0.0,1015.3958812701335,1.03,5.0600000000000005,149.98618784530387,1.1878787878787878,24.167493112947657,1013.9779614325068
2016-05-06,3.31,0.18687600644122385,114.23533471359558,13.83645042558086,0.0,1007.8260869565217,0.15,0.73,114.633608815427,0.457182320441989,27.19889502762431,1006.0
2016-05-07,0.66,0.13617755289788408,170.03553357865687,15.055151793928243,8.319999999999999,1004.3394664213431,0.0,0.0,346.6749311294766,0.014049586776859503,71.06391184573003,1003.0
2016-05-08,11.32,0.8840689655172415,95.05977011494252,18.55332183908046,0.0,1004.7022988505747,1.02,4.67,112.93646408839778,2.6735537190082646,24.838016528925618,1004.0
2016-05-09,0.67,0.3200275925500115,63.05713957231548,16.701195677167163,3.7,1005.8144401011726,0.0,0.0,59.41046831955923,0.9372928176795581,39.574861878453035,1005.0
2016-05-10,0.0,0.16893259719346676,41.385553255118474,13.916908212560386,6.87,1004.097423510467,0.0,0.0,28.793388429752067,0.3138121546961326,84.82928176795582,1003.0
2016-05-11,1.09,0.17784679089026917,54.2184265010352,14.083758914193696,30.739999999999995,1001.6610305958133,0.0,1.0899999999999999,38.14088397790055,0.0,90.32093663911846,1001.0
2016-05-12,10.08,0.9326969522714204,84.80356526739506,15.017952846463483,0.0,1001.7122484186314,0.97,4.95,74.61602209944752,1.4983471074380164,49.52837465564737,1001.0
2016-05-13,1.62,1.3784489701990565,70.83822344954551,10.107294902772983,0.0,1008.8385686342193,0.04,1.16,65.73756906077348,2.1897790055248616,60.626519337016575,1010.0
2016-05-14,7.800000000000001,0.3489413118527043,104.24050632911393,8.781070195627157,0.0,1016.3547756041427,0.71,3.7299999999999995,111.84530386740332,0.4383977900552486,36.94668508287293,1017.0
2016-05-15,6.8,0.2932681242807825,222.77065592635213,10.215512082853856,0.0,1017.8164556962025,0.01,1.29,257.7707182320442,0.3419889502762431,39.29364640883978,1017.0883977900553
2016-05-16,9.99,0.4610586881472958,288.6775604142693,10.916962025316455,0.0,1016.8757192174913,0.51,5.319999999999999,283.70165745856355,0.9770718232044199,41.51629834254143,1016.5082872928177
2016-05-17,4.2299999999999995,0.776715799170889,234.27717641639796,10.926370336250574,0.0,1011.9614233072317,0.48,0.5,231.83977900552486,2.056077348066298,61.42790055248619,1011.0
2016-05-18,-11987.8,-0.6863803822242689,225.4873359428966,8.981372323278839,-11980.63,1002.1237623762377,0.0,0.2,159.87292817679557,0.03856749311294766,80.53774104683195,1000.3801652892562
2016-05-19,1.11,0.9625919963201472,242.23102575896965,11.84196182152714,0.0,1008.314972401104,0.0,0.0,244.43250688705234,2.3895316804407716,51.022314049586775,1009.0
2016-05-20,0.18000000000000002,1.4135449005404164,216.9797631367138,12.862814763711624,0.9400000000000001,1010.3133264344027,0.0,0.15000000000000002,237.9364640883978,1.5734806629834253,48.935911602209956,1010.7845303867404
2016-05-21,0.0,1.1025767859197055,194.45185781663406,11.910801794547336,8.93,1004.9796387898309,0.0,0.0,193.24861878453038,0.6386740331491713,86.96160220994474,1004.0303867403314
