date,total_sun_per_day,mean_wind_per_day,mean_wind_direction_per_day,mean_temperature_per_day,mean_rain_per_day,mean_pressure_per_day,total_sun_3to4pm,mean_wind_direction_9to10am,mean_wind_9to10am,mean_humidity_9to10am,mean_pressure_9to10am
2021-03-16,10.98,1.150415224913495,271.07946943483273,7.4892272202998855,0.0006020761245674742,1023.0708650519032,0.71,301.79834254143645,2.9185082872928176,66.55441988950277,1023.1516574585636
2021-03-17,2.21,0.1738709677419355,234.85645161290321,4.565299539170506,0.0,1027.817880184332,0.7100000000000001,279.47091412742384,0.5958563535911602,55.211878453038665,1027.275138121547
2021-03-18,0.0,0.9177419354838711,289.6020737327189,5.468387096774193,0.0,1023.8992857142856,0.0,289.4640883977901,1.4747922437673129,67.793351800554,1022.375623268698
2021-03-19,0.7500000000000001,0.5897279225270925,94.22849896241642,5.515609868572747,4.6114825916532164e-06,1023.6557989393591,0.06999999999999999,67.34349030470914,1.1370165745856353,61.04530386740332,1024.5662983425414
2021-03-20,0.0,0.20189092586187019,242.137207425343,5.758111380145278,4.612014297244321e-06,1025.5778969214807,0.0,299.53867403314916,0.3419889502762431,69.96602209944753,1024.7925414364643
2021-03-21,0.54,0.14332296347505474,171.34370319161195,6.591623458923839,0.0,1023.6063601797443,0.0,117.26592797783934,0.24337016574585635,51.88397790055249,1023.2314917127073
2021-03-22,7.889999999999999,0.11365522009679649,302.01267573173544,5.196704309748791,0.0,1021.5082161788431,1.02,273.8453038674033,0.4928176795580111,52.91022099447514,1020.8502762430937
2021-03-23,2.2800000000000002,0.7500461041954819,229.4875518672199,5.691343937298293,0.0,1018.786479944675,0.64,222.54293628808864,2.5273480662983423,51.07071823204419,1017.8060773480664
2021-03-24,3.52,0.4665937104020274,216.2320009215528,6.6939523096417455,0.0,1015.85642207119,1.01,208.86187845303868,1.204696132596685,34.062983425414366,1015.2651933701658
2021-03-25,1.3399999999999999,0.6449245304758612,204.08929600184354,5.985781772093559,4.378384606521489e-05,1013.3020970157853,0.0,208.06925207756234,1.3030386740331492,74.41519337016574,1012.3941988950277
