day,time,centre,distance_to_oxford,filename,path,nan_fraction,date
13,10:00:00,"(53.450639, 16.8934565)",18.23046507195615,MOD021KM.A2021286.1000.061.2021286193250.hdf,2021/10/13/MOD021KM.A2021286.1000.061.2021286193250.hdf,0.563756,2021-10-13
14,10:45:00,"(47.480771749999995, 3.53108725)",6.416843000211295,MOD021KM.A2021287.1045.061.2021287193159.hdf,2021/10/14/MOD021KM.A2021287.1045.061.2021287193159.hdf,0.0,2021-10-14
15,11:25:00,"(58.2411475, -2.2606530000000005)",6.56619752954213,MOD021KM.A2021288.1125.061.2021288194102.hdf,2021/10/15/MOD021KM.A2021288.1125.061.2021288194102.hdf,0.107316,2021-10-15
16,10:30:00,"(56.1630335, 10.514423749999999)",12.571400642865386,MOD021KM.A2021289.1030.061.2021289193354.hdf,2021/10/16/MOD021KM.A2021289.1030.061.2021289193354.hdf,0.001512,2021-10-16
17,11:15:00,"(50.29744075, -3.04984725)",2.308145224513209,MOD021KM.A2021290.1115.061.2021290193725.hdf,2021/10/17/MOD021KM.A2021290.1115.061.2021290193725.hdf,0.0,2021-10-17
18,10:20:00,"(48.13727525, 9.978043249999999)",11.802887841464186,MOD021KM.A2021291.1020.061.2021291193021.hdf,2021/10/18/MOD021KM.A2021291.1020.061.2021291193021.hdf,0.000272,2021-10-18
19,11:00:00,"(58.85779125, 4.27913925)",9.00826610224837,MOD021KM.A2021292.1100.061.2021292193322.hdf,2021/10/19/MOD021KM.A2021292.1100.061.2021292193322.hdf,0.439628,2021-10-19
20,10:05:00,"(56.744918, 17.008296249999997)",18.93609910091669,MOD021KM.A2021293.1005.061.2021293192753.hdf,2021/10/20/MOD021KM.A2021293.1005.061.2021293192753.hdf,0.378272,2021-10-20
21,10:50:00,"(50.895984, 3.38691525)",4.722839634456009,MOD021KM.A2021294.1050.061.2021299033159.hdf,2021/10/21/MOD021KM.A2021294.1050.061.2021299033159.hdf,0.0,2021-10-21
22,09:55:00,"(48.7322445, 16.39889975)",17.91296843104125,MOD021KM.A2021295.0955.061.2021295193422.hdf,2021/10/22/MOD021KM.A2021295.0955.061.2021295193422.hdf,0.870252,2021-10-22
23,10:40:00,"(42.708005, 3.349716999999999)",10.1499821168273,MOD021KM.A2021296.1040.061.2021296193655.hdf,2021/10/23/MOD021KM.A2021296.1040.061.2021296193655.hdf,0.282696,2021-10-23
24,11:20:00,"(53.653146250000006, -3.082701000000001)",2.635334080129136,MOD021KM.A2021297.1120.061.2021297194401.hdf,2021/10/24/MOD021KM.A2021297.1120.061.2021297194401.hdf,0.0,2021-10-24
25,10:25:00,"(51.474916, 9.81991925)",11.081084053062073,MOD021KM.A2021298.1025.061.2021298193449.hdf,2021/10/25/MOD021KM.A2021298.1025.061.2021298193449.hdf,0.0,2021-10-25
26,11:10:00,"(45.49105125, -3.3890862499999996)",6.613795173485165,MOD021KM.A2021299.1110.061.2021299193952.hdf,2021/10/26/MOD021KM.A2021299.1110.061.2021299193952.hdf,0.0,2021-10-26
27,10:15:00,"(43.289700249999996, 9.738299750000001)",13.875248738701956,MOD021KM.A2021300.1015.061.2021303174525.hdf,2021/10/27/MOD021KM.A2021300.1015.061.2021303174525.hdf,0.112404,2021-10-27
28,10:55:00,"(54.29368124999999, 3.4026592499999997)",5.308398243883184,MOD021KM.A2021301.1055.061.2021301193815.hdf,2021/10/28/MOD021KM.A2021301.1055.061.2021301193815.hdf,0.0,2021-10-28
29,10:00:00,"(52.11673275, 16.2863705)",17.547861399267227,MOD021KM.A2021302.1000.061.2021302193430.hdf,2021/10/29/MOD021KM.A2021302.1000.061.2021302193430.hdf,0.564828,2021-10-29
30,10:45:00,"(46.19574525, 3.04642775)",7.0283342646190095,MOD021KM.A2021303.1045.061.2021303193627.hdf,2021/10/30/MOD021KM.A2021303.1045.061.2021303193627.hdf,0.0,2021-10-30
31,11:25:00,"(57.0873555, -2.89809025)",5.581836479481937,MOD021KM.A2021304.1125.061.2021304193238.hdf,2021/10/31/MOD021KM.A2021304.1125.061.2021304193238.hdf,0.0,2021-10-31
1,10:30:00,"(55.02228825, 9.93353775)",11.65927045809956,MOD021KM.A2021305.1030.061.2021305194311.hdf,2021/11/01/MOD021KM.A2021305.1030.061.2021305194311.hdf,2.0,2021-11-01
2,11:15:00,"(49.11530225, -3.5415027500000003)",3.4882560149396493,MOD021KM.A2021306.1115.061.2021306193337.hdf,2021/11/02/MOD021KM.A2021306.1115.061.2021306193337.hdf,0.0,2021-11-02
3,10:20:00,"(46.934610000000006, 9.5109885)",11.797113986994114,MOD021KM.A2021307.1020.061.2021307193149.hdf,2021/11/03/MOD021KM.A2021307.1020.061.2021307193149.hdf,0.00024,2021-11-03
